id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal
420000,2021-08-01 10:13:59,湖北,1,,1,0,,0,68196,0,63664,4512,0,0,,,
700000,2021-08-01 10:13:58,台湾,12,,39,0,,-27,15674,0,12856,787,0,0,,,
810000,2021-08-01 10:13:59,香港,0,,1,0,,-1,11984,0,11713,212,0,0,,,
440000,2021-08-01 09:09:00,广东,2,,5,0,,-3,2884,0,2807,8,0,0,,,
310000,2021-08-01 09:09:00,上海,5,,9,0,,-4,2312,0,2242,7,0,0,,,
230000,2021-08-01 00:03:46,黑龙江,0,,0,0,,0,1612,0,1599,13,0,0,,,
330000,2021-08-01 09:49:07,浙江,1,,0,0,,1,1396,0,1377,1,0,0,,,
410000,2021-08-01 09:49:06,河南,14,,1,0,,13,1345,0,1294,22,0,0,,,
130000,2021-08-01 00:03:47,河北,0,,0,0,,0,1317,0,1310,7,0,0,,,
510000,2021-08-01 09:09:00,四川,1,,2,0,,-1,1152,0,1107,3,0,0,,,
110000,2021-08-01 00:03:47,北京,0,,0,0,,0,1089,0,1067,9,0,0,495.0,0.0,482.0
430000,2021-08-01 09:44:03,湖南,4,,9,0,,-5,1083,0,1064,4,0,0,,,
340000,2021-08-01 00:03:47,安徽,0,,0,0,,0,1008,0,1002,6,0,0,,,
320000,2021-08-01 09:24:01,江苏,30,,0,0,,30,998,0,744,0,0,0,,,
650000,2021-08-01 00:03:47,新疆,0,,0,0,,0,980,0,977,3,0,0,,,
360000,2021-08-01 00:03:47,江西,0,,0,0,,0,937,0,936,1,0,0,,,
370000,2021-08-01 09:09:00,山东,1,,0,0,,1,886,0,876,7,0,0,,,
530000,2021-08-01 09:09:00,云南,10,,1,0,,9,814,0,432,2,0,0,,,
350000,2021-08-01 10:34:02,福建,1,,2,0,,-1,737,0,695,1,0,0,,,
610000,2021-08-01 09:09:00,陕西,0,,1,0,,-1,656,0,632,3,0,0,,,
500000,2021-08-01 00:13:47,重庆,0,,0,0,,0,603,0,593,6,0,0,,,
220000,2021-08-01 00:03:46,吉林,0,,0,0,,0,574,0,570,3,0,0,,,
210000,2021-08-01 00:13:47,辽宁,0,,0,0,,0,437,0,426,2,0,0,,,
120000,2021-08-01 09:09:00,天津,3,,1,0,,2,425,0,400,3,0,0,,,
150000,2021-08-01 09:09:00,内蒙古,2,,0,0,,2,405,0,398,1,0,0,,,
450000,2021-08-01 00:03:47,广西,0,,0,0,,0,277,0,273,2,0,0,,,
140000,2021-08-01 00:03:47,山西,0,,0,0,,0,253,0,253,0,0,0,,,
620000,2021-08-01 00:03:47,甘肃,0,,0,0,,0,199,0,193,2,0,0,,,
460000,2021-08-01 10:34:01,海南,1,,0,0,,1,189,0,181,6,0,0,,,
520000,2021-08-01 00:03:47,贵州,0,,0,0,,0,147,0,145,2,0,0,,,
640000,2021-08-01 00:13:47,宁夏,0,,0,0,,0,77,0,76,0,0,0,,,
820000,2021-08-01 00:03:46,澳门,0,,0,0,,0,59,0,54,0,0,0,,,
630000,2021-08-01 00:03:46,青海,0,,0,0,,0,18,0,18,0,0,0,,,
540000,2021-08-01 00:03:46,西藏,0,,0,0,,0,1,0,1,0,0,0,,,
